"Item ID","FR ID","Interface Aspect (IA)","Screen","Test Item Description","Preconditions","Expected Result","Actual Result","Status","Environment","Bug ID","Origin","AI Critique / Reason Missed","Notes","Evidence Reference"
"CHK-GUI-017","FR-10","IA-04 Feedback & State","Order Lifecycle","Validate a canceled order cannot transition to delivered","An administrator is authenticated and the order status is canceled","The Admin UI withholds the action and the API rejects canceled-to-delivered transition","Canceled → delivered returned HTTP 200 and the Admin UI displayed the delivered state.","Failed","Google Chrome 151 / Windows 11","BUG-011","Human-added","The initial AI checklist covered the valid sequence but did not test escape from a terminal canceled state; human review added the illegal transition.","Executed twice on Google Chrome 151 / Windows 11 on 2 August 2026; canceled test order.","bugs/evidence_images/bug_011_canceled_order_delivered.png"
"CHK-GUI-018","FR-10","IA-02 Forms & Validation","Web Checkout","Validate percentage-coupon arithmetic on Checkout","A 30,000,000 ₫ cart total is displayed and SAVE10 is active","SAVE10 reports 3,000,000 ₫ savings and a final total of 27,000,000 ₫","SAVE10 reported -270,000,000 ₫ savings and a 300,000,000 ₫ final total.","Failed","Google Chrome 151 / Windows 11","BUG-015","Human-added","The initial AI checklist verified coupon acceptance but did not calculate an independent numeric oracle for a percentage discount.","Executed twice on Google Chrome 151 / Windows 11 on 2 August 2026; SAVE10 at 10% on 30,000,000 ₫.","bugs/evidence_images/bug_015_percent_coupon_calculation.png"
"CHK-GUI-019","FR-10","IA-02 Forms & Validation","Web Checkout","Validate invalid coupon code feedback on Checkout","Expired or non-existent coupon entered","Displays red error text 'Mã giảm giá không hợp lệ hoặc đã hết hạn'","The invalid coupon displayed the inline message “Mã giảm giá không tồn tại hoặc đã bị vô hiệu hóa”.","Passed","Google Chrome 151 / Windows 11","N/A","Hybrid","Error response handling verified.","Executed twice on Google Chrome 151 / Windows.",""
"CHK-GUI-020","FR-10","IA-03 Navigation","Web Checkout","Check order confirmation screen navigation after successful order placement","Order form submitted","Redirects to /profile or Order Details with order summary","Checkout displayed a dedicated success state and provided navigation back to the home page.","Passed","Google Chrome 151 / Windows 11","N/A","Hybrid","Router redirect verified.","Executed twice on Google Chrome 151 / Windows.",""
"CHK-GUI-021","FR-10","IA-04 Feedback & State","Order Lifecycle","Check terminal state immutability for delivered orders","Order status delivered","Action buttons (Cancel, Update Status) are disabled/hidden","A delivered order rejected a transition back to confirmed with HTTP 400.","Passed","Google Chrome 151 / Windows 11","N/A","Hybrid","Terminal state handling for delivered orders verified.","Executed twice on Google Chrome 151 / Windows.",""
"CHK-GUI-022","FR-11","IA-01 General UI","Web Order History","Check Web Profile Order History table responsiveness and layout","Web Profile page open","Two-column desktop layout (Profile info on left, Order history on right)","Order history rendered as a structured five-column table at 1440×1000.","Passed","Google Chrome 151 / Windows 11","N/A","Hybrid","Tailwind CSS flex/grid layout verified.","Executed twice on Google Chrome 151 / Windows.",""
"CHK-GUI-023","FR-11","IA-01 General UI","Web Order History","Verify status badge color mapping in Order History table","Orders with various statuses","pending: yellow, confirmed: indigo, shipping: blue, delivered: green, canceled: red","Status badges rendered localized labels: Đã hủy, Đã giao, Chờ xác nhận, Chờ xác nhận.","Passed","Google Chrome 151 / Windows 11","N/A","Hybrid","Status color mapping dictionary verified.","Executed twice on Google Chrome 151 / Windows.",""
"CHK-GUI-024","FR-11","IA-02 Forms & Validation","Web User Profile","Validate a standard Vietnamese mobile number can be saved","An authenticated customer is editing the Profile phone field","The valid ten-digit number 0912345678 is accepted and saved","The valid number 0912345678 was rejected with 'Số điện thoại không hợp lệ. Vui lòng nhập đúng 9-10 chữ số.'.","Failed","Google Chrome 151 / Windows 11","BUG-012","Human-added","The initial AI checklist treated the numeric-length regex as sufficient and missed the Vietnamese numbering rule that requires a leading zero.","Executed twice on Google Chrome 151 / Windows 11 on 2 August 2026; test number 0912345678.","bugs/evidence_images/bug_012_valid_phone_rejected.png"
"CHK-GUI-025","FR-11","IA-02 Forms & Validation","Web User Profile","Validate User Profile address update input field text saving","User entering new shipping address","Input accepted and saved via PUT /api/user/profile","The address was saved through the profile form; confirmation message: “Cập nhật thành công!”.","Passed","Google Chrome 151 / Windows 11","N/A","Hybrid","Form state binding verified.","Executed twice on Google Chrome 151 / Windows.",""
"CHK-GUI-026","FR-11","IA-03 Navigation","Web Order History","Verify customers can open item-level details for a historical order","An authenticated customer has at least one order in Order History","Each order exposes an expansion or details control with its purchased-item breakdown","Order-history rows provided no expansion control, details link, or item-level view.","Failed","Google Chrome 151 / Windows 11","BUG-016","Human-added","The initial AI checklist checked table rendering but did not trace the customer's need to inspect purchased items after opening history.","Executed twice on Google Chrome 151 / Windows 11 on 2 August 2026; existing customer order.","bugs/evidence_images/bug_016_order_history_has_no_details.png"
"CHK-GUI-027","FR-11","IA-04 Feedback & State","Web Order History","Verify empty state rendering when user has 0 orders","New account with no orders","Displays 'Bạn chưa có đơn hàng nào.'","The order-history empty state was displayed for a user with no orders at the start of execution.","Passed","Google Chrome 151 / Windows 11","N/A","Hybrid","Empty state condition orders.length === 0 verified.","Executed twice on Google Chrome 151 / Windows.",""
"CHK-GUI-028","FR-23","IA-04 Feedback & State","Mobile Cart","Verify a successful add is reflected in the destination cart state","FR-23 Product Detail is open with quantity 1","After adding, the cart displays the selected product identity and quantity 1","The supplied cart capture shows iPhone 15 Pro Max with quantity 1 after the add flow.","Passed","Expo Go / iPhone capture, 1284×2778","N/A","AI","The AI-generated cross-screen state check was retained and confirmed by the supplied cart capture.","Observed in the supplied Mobile cart capture; exact device metadata and the required identity overlay remain to be supplied.","cross_platform/mobile_real_device/mobile_02_valid_quantity_add.png"
"CHK-GUI-029","FR-23","IA-01 General UI","Mobile Product Detail","Verify content and the primary CTA remain visible on the captured Mobile viewport","FR-23 Product Detail is open at the captured 1284×2778 resolution","Product content and the Add to Cart CTA are visible without clipping, overlap, or obstruction","The full-screen capture shows the detail content and primary CTA without clipping or overlap.","Passed","Expo Go / iPhone capture, 1284×2778","N/A","Hybrid","Human review narrowed the AI responsive-layout assertion to the viewport directly established by the supplied evidence.","Observed in the supplied Mobile Product Detail capture; exact device metadata and the required identity overlay remain to be supplied.","cross_platform/mobile_real_device/mobile_01_product_detail.png"
"CHK-GUI-030","FR-18","IA-01 General UI","Admin Dashboard","Check Admin Dashboard layout summary metrics cards display","Admin Dashboard tab active","Renders metrics cards for Total Revenue, Total Orders, Total Products","Dashboard displayed revenue and order-count summary cards.","Passed","Google Chrome 151 / Windows 11","N/A","Hybrid","Admin Dashboard grid structure verified.","Executed twice on Google Chrome 151 / Windows.",""
"CHK-GUI-031","FR-18","IA-01 General UI","Admin Dashboard","Verify delivered-order revenue equals an independently calculated oracle","Delivered orders with known totals exist","Dashboard revenue equals the 8,234,567 ₫ sum of delivered order totals","The dashboard displayed 16,469,134 ₫, exactly twice the 8,234,567 ₫ oracle.","Failed","Google Chrome 151 / Windows 11","BUG-014","Human-added","The initial AI checklist checked that a revenue card existed but did not independently sum seeded delivered orders to challenge the accumulator.","Executed twice on Google Chrome 151 / Windows 11 on 2 August 2026; delivered totals summed independently.","bugs/evidence_images/bug_014_admin_revenue_doubled.png"
"CHK-GUI-032","FR-18","IA-01 General UI","Admin Order Management","Verify stored shipping-address markup is rendered as escaped text","An order contains the address payload <img src=x onerror=alert(1)>","The complete payload is displayed as harmless plain text in the Admin table","Stored shipping-address markup was interpreted in the Admin Orders table and rendered the test marker.","Failed","Google Chrome 151 / Windows 11","BUG-013","Human-added","The initial AI checklist relied on React's default escaping and did not add a stored-injection probe for the exceptional dangerouslySetInnerHTML path.","Executed twice on Google Chrome 151 / Windows 11 on 2 August 2026; controlled stored-markup payload.","bugs/evidence_images/bug_013_stored_html_injection.png"
"CHK-GUI-033","FR-18","IA-02 Forms & Validation","Admin Order Management","Check Admin Order Management status update dropdown/action buttons","Admin viewing orders table","Buttons enabled for valid transitions only based on current status","The pending order exposed the expected actions: Xác nhận, Hủy.","Passed","Google Chrome 151 / Windows 11","N/A","Hybrid","Table row action layout verified.","Executed twice on Google Chrome 151 / Windows.",""
"CHK-GUI-034","FR-18","IA-03 Navigation","Admin Navigation","Check Admin Sidebar navigation menu items (Dashboard, Categories, Products, Coupons, Orders, Users)","Admin portal open","Clicking menu items switches active view content without full page reload","All six primary admin navigation destinations were visible and selectable.","Passed","Google Chrome 151 / Windows 11","N/A","Hybrid","Sidebar routing verified.","Executed twice on Google Chrome 151 / Windows.",""
"CHK-GUI-035","FR-18","IA-04 Feedback & State","Admin Order Management","Verify an Admin order transition provides explicit success feedback","An administrator confirms a pending order","A success message confirms completion in addition to the resulting status badge","The status changed to Đã xác nhận, but no success toast or confirmation message appeared.","Failed","Google Chrome 151 / Windows 11","BUG-019","Human-added","The initial AI checklist accepted the changed badge as sufficient state feedback and did not separately evaluate explicit action confirmation.","Executed twice on Google Chrome 151 / Windows 11 on 2 August 2026; pending-to-confirmed transition.","bugs/evidence_images/bug_019_admin_status_no_success_feedback.png"
"CHK-GUI-036","FR-18","IA-02 Forms & Validation","Admin Product Management","Verify editing one product changes only the selected record","An administrator sees multiple products and opens one product editor","Only the selected product name changes after save; all other rows remain unchanged","Editing one product changed every visible product name in client state.","Failed","Google Chrome 151 / Windows 11","BUG-017","Human-added","The initial AI checklist verified the save response but did not compare unaffected sibling rows after the client-state update.","Executed twice on Google Chrome 151 / Windows 11 on 2 August 2026; one selected product name edited.","bugs/evidence_images/bug_017_admin_product_edit_corrupts_list.png"
"CHK-GUI-037","FR-18","IA-04 Feedback & State","Admin Order Management","Verify Admin data loading provides visible progress feedback","An authenticated administrator opens Orders while API responses are deliberately delayed","A spinner, skeleton, loading message, or disabled state remains visible until retrieval completes","No loading spinner, progress indicator, or loading message appeared while the delayed requests were pending.","Failed","Google Chrome 151 / Windows 11","BUG-018","Human-added","The initial AI checklist evaluated only the loaded table and omitted the transient state that appears under delayed network conditions.","Executed twice on Google Chrome 151 / Windows 11 on 2 August 2026 with delayed Admin API responses.","bugs/evidence_images/bug_018_admin_missing_loading_indicator.png"
"CHK-GUI-038","FR-23","IA-01 General UI","Mobile Product Detail","Check Mobile Product Detail image display and aspect ratio","Mobile Product Detail screen","Product image scales proportionally with aspect ratio preserved (resizeMode='contain')","The Mobile capture shows the iPhone 15 product media stretched across the fixed image frame rather than proportionally contained.","Failed","Expo Go / iPhone capture, 1284x2778","BUG-020","Hybrid","The visible distortion confirms the aspect-ratio defect at runtime.","Executed on Mobile; screenshot needs the PDF-required identity overlay before final submission.","cross_platform/mobile_real_device/mobile_01_product_detail.png"
"CHK-GUI-039","FR-23","IA-01 General UI","Mobile Product Detail","Verify product category name display on Mobile Product Detail screen","Product detail screen open","Product category name displayed below product title","The complete Mobile Product Detail capture shows name, price, description, quantity, and CTA, but no product category label or value.","Failed","Expo Go / iPhone capture, 1284x2778","BUG-021","Hybrid","The full-screen runtime capture demonstrates the category omission.","Executed on Mobile; screenshot needs the PDF-required identity overlay before final submission.","cross_platform/mobile_real_device/mobile_01_product_detail.png"
"CHK-GUI-040","FR-23","IA-02 Forms & Validation","Mobile Product Detail","Verify the Mobile quantity control accepts numeric editing","FR-23 Product Detail is open and quantity initially displays 1","The quantity field accepts a numeric edit and visibly displays the entered value","The before-action capture shows the quantity field displaying the entered numeric value 0.","Passed","Expo Go / iPhone capture, 1284×2778","N/A","AI","The AI-generated input-operability check was retained; validation semantics are evaluated separately by CHK-GUI-012 and CHK-GUI-041.","Observed in the supplied Mobile before-action capture; exact device metadata and the required identity overlay remain to be supplied.","cross_platform/mobile_real_device/mobile_03_invalid_quantity_before.png"
"CHK-GUI-041","FR-23","IA-02 Forms & Validation","Mobile Product Detail","Verify quantity 0 receives clear corrective feedback","The Mobile quantity field contains 0 before Add to Cart is selected","The app explains that quantity must be positive and keeps the user in a recoverable state","After quantity 0, the app displayed a success alert and 'Đã thêm' without corrective feedback.","Failed","Expo Go / iPhone capture, 1284×2778","BUG-022","Human-added","The initial AI checklist checked add feedback but did not distinguish success feedback from corrective feedback at the zero boundary.","Observed in the supplied Mobile before/after capture pair; exact device metadata and the required identity overlay remain to be supplied.","cross_platform/mobile_real_device/mobile_03_invalid_quantity_before.png; cross_platform/mobile_real_device/mobile_04_invalid_quantity_after.png"
"CHK-GUI-042","FR-23","IA-03 Navigation","Mobile Product Detail","Check Mobile Product Detail header back button and home navigation","Product detail screen","Header back button returns user to Product Grid on Home screen","The full Mobile Product Detail capture shows the shared EShop Mobile brand but no dedicated back control on the detail screen.","Failed","Expo Go / iPhone capture, 1284x2778","BUG-023","Hybrid","The complete runtime screen confirms the dedicated back control is absent.","Executed on Mobile; screenshot needs the PDF-required identity overlay before final submission.","cross_platform/mobile_real_device/mobile_01_product_detail.png"
"CHK-GUI-043","FR-23","IA-04 Feedback & State","Mobile Product Detail","Verify Add to Cart produces immediate visible feedback","Add to Cart is selected on FR-23 Product Detail","The interface immediately presents a visible confirmation state instead of leaving the action ambiguous","The after-action capture shows a success alert and the CTA label changed to 'Đã thêm'.","Passed","Expo Go / iPhone capture, 1284×2778","N/A","Hybrid","Human review narrowed the timing assertion to the immediate state directly established by the still image.","Observed in the supplied Mobile after-action capture; this item evaluates feedback visibility, while invalid-input correctness is evaluated separately by BUG-022.","cross_platform/mobile_real_device/mobile_04_invalid_quantity_after.png"
"CHK-GUI-044","FR-23","IA-02 Forms & Validation","Mobile Product Detail","Verify Mobile Product Detail initializes quantity with a valid default value","Open the detail screen for an existing product","The quantity input displays the valid default value 1 before the user edits it","The authentic Mobile Product Detail capture clearly shows the quantity input initialized to 1.","Passed","Expo Go / iPhone capture, 1284x2778","N/A","Hybrid","The visible default quantity provides direct runtime evidence for this happy path.","Executed on Mobile; screenshot needs the PDF-required identity overlay before final submission.","cross_platform/mobile_real_device/mobile_01_product_detail.png"
"CHK-GUI-045","FR-23","IA-01 General UI","Mobile Product Detail","Verify the displayed product price uses readable Vietnamese currency formatting","FR-23 Product Detail is open for iPhone 15 Pro Max","The price uses grouped digits and the đồng symbol without clipping or ambiguous decimals","The captured detail screen displays '30.000.000 ₫' clearly below the product name.","Passed","Expo Go / iPhone capture, 1284×2778","N/A","AI","The AI-generated currency-format check was retained and confirmed against the supplied runtime capture.","Observed in the supplied Mobile Product Detail capture; exact device metadata and the required identity overlay remain to be supplied.","cross_platform/mobile_real_device/mobile_01_product_detail.png"
