No,IA_ID,Interface_Aspect,Screen/Component,Checklist_Item,Origin,Why_AI_Missed_This(if Human-added),Expected_Result,Status,Notes_if_Failed,Bug_ID
30,IA-04,Feedback/State,ProductDetail - Add to cart,"Clicking ""Add to cart"" always performs the action and gives immediate feedback",AI,,The very first click on Add to cart should add the item and show confirmation,Failed,"On a Product Detail page, clicked ""Thêm vào giỏ hàng"" once - nothing happened: no confirmation, and the item was not in the cart afterward. Clicking the same button a second time added it successfully.",BUG-25
31,IA-04,Feedback/State,Home - Search,"Search with zero matching results shows an explicit ""no results"" message",AI,,"A ""No products found"" message should render when a search returns nothing",Failed,Searched for a nonsense term with no matching products - the page just showed an empty product grid with no text at all indicating that the search returned no results.,BUG-34
32,IA-04,Feedback/State,ProductDetail,"Product-not-found state is a genuine, user-friendly message, not a debug string",Human,Only reached by manually navigating to a product ID that doesn't exist - a walkthrough that only opens products via the Home page's own links never lands on this state.,"Product-not-found should show a plain, user-facing message",Failed,"Manually edited the URL to point at a non-existent product ID - the page displayed the literal message ""Sản phẩm không tồn tại (Lỗi trắng trang do data rỗng)"", which reads as a developer/debug note rather than a normal user-facing message.",BUG-37
33,IA-04,Feedback/State,Register,A clear error is shown when registering with an email that's already taken,AI,,"An informative error message should appear, not a silent failure",Passed,,
34,IA-04,Feedback/State,Checkout (web),The confirm-payment button shows a busy/loading state while the request is in flight,AI,,"Button should read something like ""Đang xử lý..."" and be disabled during submission",Passed,,
35,IA-04,Feedback/State,Checkout - Coupon apply,"The ""Áp dụng"" (Apply) button shows a busy state while the coupon request is in flight",AI,,"Button should indicate loading (e.g. ""..."") and be disabled during the request",Passed,,
36,IA-04,Feedback/State,Checkout (web),"A successful checkout shows a clear, distinct success screen",AI,,A confirmation screen/message should appear after a successful order,Passed,,
37,IA-04,Feedback/State,Cart,An empty cart shows a friendly message with a link back to shopping,AI,,Empty cart should not just show a blank table,Passed,,
38,IA-04,Feedback/State,Profile - Order history,"An account with no past orders shows a clear ""no orders yet"" message",AI,,"Empty order history should show explanatory text, not a blank table",Passed,,
39,IA-04,Feedback/State,ProductDetail,A loading state is shown while product data is being fetched,AI,,"""Đang tải..."" (or similar) should appear before the product renders",Passed,,
40,IA-04,Feedback/State,Coupon apply (web),Applying an invalid/expired coupon clearly explains why it failed,AI,,"Error message should state the specific reason (expired, min order not met, already used)",Passed,,
41,IA-04,Feedback/State,Profile,Updating profile info shows a clear success confirmation,AI,,A confirmation message should appear after a successful profile update,Passed,,
42,IA-04,Feedback/State,Order history - Cancel order,Canceling an order from Profile gives a clear success confirmation and the row updates its status immediately,AI,,"Status badge should update to ""Đã hủy"" right after a successful cancel",Passed,,
